Category	ColumnName	Description	Values	VariableType
Per Core Cancer Reporting	CoreLetter_9	Core 9 Letter		character
Per Core Cancer Reporting	CoreLetter_10	Core 10 Letter		character
Per Core Cancer Reporting	CoreLetter_11	Core 11 Letter		character
Per Core Cancer Reporting	CoreLetter_12	Core 12 Letter		character
Per Core Cancer Reporting	CoreRLM_1	Core 1 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_2	Core 2 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_3	Core 3 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_4	Core 4 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_5	Core 5 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_6	Core 6 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_7	Core 7 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_8	Core 8 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_9	Core 9 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_10	Core 10 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_11	Core 11 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreRLM_12	Core 12 Right/Left/Middle	"L:Left,M:Middle,R:Right,U:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_1	Core 1 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_2	Core 2 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_3	Core 3 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_4	Core 4 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_5	Core 5 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_6	Core 6 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_7	Core 7 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_8	Core 8 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_9	Core 9 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_10	Core 10 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_11	Core 11 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreBMAT_12	Core 12 Base/Mid/Apex/Anterior/ Transitional/SV/Other	"Ba:Base,Md:Mid,Ap:Apex,La:Lateral,An:Anterion,Tr:Transitional,Ot:Other,Un:Unknown"	categorical
Per Core Cancer Reporting	CoreGleasonPrimary_1	Core 1 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_2	Core 2 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_3	Core 3 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_4	Core 4 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_5	Core 5 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_6	Core 6 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_7	Core 7 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_8	Core 8 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_9	Core 9 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_10	Core 10 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_11	Core 11 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonPrimary_12	Core 12 Primary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_1	Core 1 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_2	Core 2 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_3	Core 3 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_4	Core 4 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_5	Core 5 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_6	Core 6 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_7	Core 7 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_8	Core 8 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_9	Core 9 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_10	Core 10 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_11	Core 11 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CoreGleasonSecondary_12	Core 12 Secondary Gleason Grade	9:Unknown	numeric
Per Core Cancer Reporting	CorePI_1	Core 1 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_2	Core 2 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_3	Core 3 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_4	Core 4 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_5	Core 5 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_6	Core 6 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_7	Core 7 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_8	Core 8 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_9	Core 9 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_10	Core 10 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_11	Core 11 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CorePI_12	Core 12 Perineural Invasion	"0:No PNI,1:PNI Present,2:Unknwon"	categorical
Per Core Cancer Reporting	CoreCancerPerc_1	Core 1 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_2	Core 2 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_3	Core 3 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_4	Core 4 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_5	Core 5 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_6	Core 6 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_7	Core 7 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_8	Core 8 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_9	Core 9 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_10	Core 10 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_11	Core 11 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreCancerPerc_12	Core 12 % Cancer (1-100%) 	999:Unknown	numeric
Per Core Cancer Reporting	CoreLength_1	Core 1 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_2	Core 2 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_3	Core 3 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_4	Core 4 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_5	Core 5 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_6	Core 6 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_7	Core 7 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_8	Core 8 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_9	Core 9 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_10	Core 10 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_11	Core 11 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoreLength_12	Core 12 Length (mm)	999: Unknown	numeric
Per Core Cancer Reporting	CoresOver12	Number of additional cores (if >12)		numeric
Negative Biopsy Reporting	ControlHGPIN	High Grade PIN present in control?	"0:No,1:Yes,2:Not Collected"	categorical
Negative Biopsy Reporting	ControlInflammation	Inflammation present in control?	"0:No,1:Yes,2:Not Collected"	categorical
Negative Biopsy Reporting	ControlASAP	Atypical Small Acinar Proliferation present in control?	"0:No,1:Yes,2:Not Collected"	categorical
Negative Biopsy Reporting	ControlAtypia	Atypia/Suspiciouspresent in control?	"0:No,1:Yes,2:Not Collected"	categorical
Negative Biopsy Reporting	ControlAtrophy	Atrophy present in control?	"0:No,1:Yes,2:Not Collected"	categorical
12-month Follow-up Clinical Data (Controls)	PSAval_1.fu1control	Total PSA measured on Date 1 at 1-year follow up for controls		numeric
12-month Follow-up Clinical Data (Controls)	PSAval_2.fu1control	Total PSA measured on Date 2 at 1-year follow up for controls		numeric
12-month Follow-up Clinical Data (Controls)	PSAval_3.fu1control	Total PSA measured on Date 3 at 1-year follow up for controls		numeric
12-month Follow-up Clinical Data (Controls)	PSAval_4.fu1control	Total PSA measured on Date 4 at 1-year follow up for controls		numeric
12-month Follow-up Clinical Data (Controls)	PSAval_5.fu1control	Total PSA measured on Date 5 at 1-year follow up for controls		numeric
12-month Follow-up Clinical Data (Controls)	PSADate_1.fu1control	"Date 1 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	PSADate_2.fu1control	"Date 2 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	PSADate_3.fu1control	"Date 3 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	PSADate_4.fu1control	"Date 4 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	PSADate_5.fu1control	"Date 5 (relative to date of biopsy, in days) of PSA measurement at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	PSAnotRecorded.fu1control	Has the patient had a PSA not previously recorded?	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	DREDate.fu1control	"Most recent DRE date (relative to date of biopsy, in days) at 1-year follow up"		date
12-month Follow-up Clinical Data (Controls)	DREresults.fu1control	Most recent DRE results at 1-year follow up for controls	"1:normal,2:enlarged/benign,3:Enlarged/Asymmetry,4:Abnormal,5:Unknown/Refused"	categorical
12-month Follow-up Clinical Data (Controls)	DREnodularity.fu1control	Amount of indulation or nodularity on most recent DRE at 1-year follow up	"1:<50% right,2:>=50% right,3:<50% left,4:>=50%,5:Bilateral,6:Abnormal DRE but extent not specified,7:Other,8:None"	categorical
12-month Follow-up Clinical Data (Controls)	DREnodularityOtherDesc.fu1control	Amount Other (Specify)		character
12-month Follow-up Clinical Data (Controls)	RepeatBiopsy.fu1control	Has the patient had a repeat biopsy not previously recorded?	"0:No,1:Yes"	categorical
12-month Follow-up Clinical Data (Controls)	RepeatBiopsyDate_1.fu1control	"Date 1 (relative to date of biopsy, in days) of repeated biopsy at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	RepeatBiopsyResults_1.fu1control	Date 1 repeat biopsy result at 1-year follow up for controls	"0:No Cancer,1:Cancer"	categorical
12-month Follow-up Clinical Data (Controls)	RepeatBiopsyDate_2.fu1control	"Date 2 (relative to date of biopsy, in days) of repeated biopsy at 1-year follow up for controls"		date
12-month Follow-up Clinical Data (Controls)	RepeatBiopsyResults_2.fu1control	Date 2 repeat biopsy result at 1-year follow up for controls	"0:No Cancer,1:Cancer"	categorical
12-month Follow-up Clinical Data (Controls)	RepeatBiopsyDate_3.fu1control	"Date 3 (relative to date of biopsy, in days) of repeated biopsy at 1-year follow up for controls"		date
