CHEM_ID	LIB_ID	COMP_ID	CHRO_LIB_ENTRY_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	INCHIKEY	SMILES	CHEMICAL_NAME	PLOT_NAME	CAS	CHEMSPIDER	HMDB	KEGG	PUBCHEM	PLATFORM
917	400	512	155306	Amino Acid	Alanine and Aspartate Metabolism	40	NAMED	DCXYFEDJOCDNAF-REOHCLBHSA-N	NC(C[C@H](N)C(O)=O)=O	asparagine	asparagine	70-47-3	6031	HMDB0000168	C00152	6267	Pos Early
1110	305	1585	147717	Amino Acid	Alanine and Aspartate Metabolism	31	NAMED	KTHDTJVBEPMMGL-VKHMYHEASA-N	O=C(O)[C@@H](NC(C)=O)C	N-acetylalanine	N-acetylalanine	97-69-8	79449	HMDB0000766	C02847	88064	Polar
100000787	209	22185	123313	Amino Acid	Alanine and Aspartate Metabolism	37	NAMED	OTCCIMWXFLJLIA-BYPYZUCNSA-N	OC([C@@H](NC(C)=O)CC(O)=O)=O	N-acetylaspartate (NAA)	N-acetylaspartate (NAA)	"997-55-7,997-55-7"	58576	HMDB0000812	C01042	65065	Neg
100001257	305	33942	147568	Amino Acid	Alanine and Aspartate Metabolism	42	NAMED	HXFOXFJUNFFYMO-BYPYZUCNSA-N	OC([C@@H](NC(C)=O)CC(N)=O)=O	N-acetylasparagine	N-acetylasparagine	4033-40-3	90090	HMDB0006028		99715	Polar
100006369	400	52340	164887	Amino Acid	Alanine and Aspartate Metabolism	35	NAMED	LUSWEUMSEVLFEQ-UHFFFAOYSA-N	O=C(C(C)NC(N)=O)O	N-carbamoylalanine	N-carbamoylalanine	77340-50-2	377278			426409	Pos Early
100020205	400	62060	218876	Amino Acid	Alanine and Aspartate Metabolism	43	NAMED	ZBYVTTSIVDYQSO-REOHCLBHSA-N	O=C(O)[C@@H](N)CC(NO)=O	hydroxyasparagine**	hydroxyasparagine**		88149	HMDB32332	C20631	15991574	Pos Early
100020371	400	63151	221884	Amino Acid	Alanine and Aspartate Metabolism	33	NAMED	QCYOIFVBYZNUNW-BYPYZUCNSA-N	C[C@@](C(O)=O)(N(C)C)[H]	"N,N-dimethylalanine"	"N,N-dimethylalanine"	2812-31-9	4589713			5488191	Pos Early
1162	400	32377	155919	Carbohydrate	Aminosugar Metabolism	1436	NAMED	SQVRNKJHWKZAKO-UHFFFAOYSA-N	OC1(C(O)=O)CC(O)C(NC(C)=O)C(C(O)C(O)CO)O1	N-acetylneuraminate	N-acetylneuraminate	131-48-6	10292217	HMDB0000230	C00270	439197	Pos Early
1215	400	48149	157725	Carbohydrate	Aminosugar Metabolism	1448	NAMED	YTTRPBWEMMPYSW-VFFCQLMOSA-N	O[C@H]1[C@H](O)[C@@H](CO)O[C@@H](NC(CC(N)C(O)=O)=O)[C@@H]1NC(C)=O	N-acetylglucosaminylasparagine	N-acetylglucosaminylasparagine	2776-93-4	21403014	HMDB0000489	C04540	123826	Pos Early
100000257	305	15443	146478	Carbohydrate	Aminosugar Metabolism	1424	NAMED	AEMOLEFTQBMNLQ-QIUUJYRFSA-N	O[C@@H]1O[C@H]([C@](O)=O)[C@@H](O)[C@H](O)[C@H]1O	glucuronate	glucuronate	207300-70-7	58552	HMDB0000127	C16245	"441478,23677976,94715,65041,444791"	Polar
100001320	305	42420	148204	Carbohydrate	Aminosugar Metabolism	1449	NAMED	JPIJQSOTBSSVTP-PWNYCUMCSA-N	OC[C@@H](O)[C@@H](O)C(O)=O	erythronate*	erythronate*	88759-55-1	2061231	HMDB0000613		2781043	Polar
100006435	400	46539	166536	Carbohydrate	Aminosugar Metabolism	1451	NAMED	OVRNDRQMDRJTHS-FMDGEEDCSA-N	O[C@@H]1[C@H]([C@@H](O[C@@H]([C@H]1O)CO)O)NC(C)=O	N-acetylglucosamine/N-acetylgalactosamine	N-acetylglucosamine/N-acetylgalactosamine			"HMDB0000212,HMDB0000215"	C01074	"439174,84265"	Pos Early
100000792	209	32425	124935	Lipid	Androgenic Steroids	3363	NAMED	CZWCKYRVOZZJNM-DYIPZHMLSA-N	[H][C@@]1(CC[C@]2(C)[C@]3(CCC2=O)[H])[C@@]4(C)C(C[C@H](OS(=O)(O)=O)CC4)=CC[C@]13[H]	dehydroepiandrosterone sulfate (DHEA-S)	dehydroepiandrosterone sulfate (DHEA-S)	651-48-9	12074	HMDB0001032	C04555	12594	Neg
100001073	209	31591	126075	Lipid	Androgenic Steroids	3376	NAMED	ZMITXKRGXGRMKS-HLUDHZFRSA-N	C[C@]1([C@](CC2)([H])[C@]3([H])CC[C@@]4([H])C[C@H](OS(=O)(O)=O)CC[C@]4(C)[C@@]3([H])CC1)C2=O	androsterone sulfate	androsterone sulfate	2479-86-9	19988780	HMDB0002759		159663	Neg
100001287	209	33973	126133	Lipid	Androgenic Steroids	3368	NAMED	ZMITXKRGXGRMKS-FMLJXKFRSA-N	O=C1CCC2C3CC[C@@]4([H])C[C@@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C	epiandrosterone sulfate	epiandrosterone sulfate	22229-22-7	21403101	HMDB0062657	C04555	9929317	Neg
100001548	209	35668	152536	Lipid	Androgenic Steroids	3396	NAMED	WAQBISPOEAOCOG-DYKIIFRCSA-N	O=C1CC[C@@]2(C)C(CC[C@]3([H])[C@]2([H])CC[C@@]4(C)[C@@]3([H])CC[C@@H]4OS(=O)(O)=O)=C1	testosterone sulfate	testosterone sulfate	651-45-6	19979647	HMDB0002833		119207	Neg
100001987	209	37190	144226	Lipid	Androgenic Steroids	3412	NAMED	JHFAETDERBWUOO-ARKAXQQOSA-N	C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4OS(=O)(O)=O)([H])C[C@@H](OS(=O)(O)=O)CC1	"5alpha-androstan-3beta,17beta-diol disulfate"	"5alpha-androstan-3beta,17beta-diol disulfate"	571-20-0		HMDB00493	C12525	90186325	Neg
100001992	209	37202	144229	Lipid	Androgenic Steroids	3389	NAMED	UWPTUYJASNIIJM-QJIZPQHZSA-N	C[C@@]12C(CCC3C2CC[C@@]4(C)C3CC[C@@H]4OS(=O)(O)=O)=C[C@@H](OS(=O)(O)=O)CC1	"androstenediol (3beta,17beta) disulfate (1)"	"androstenediol (3beta,17beta) disulfate (1)"			HMDB0240313	C04295	87120982	Neg
100001994	209	37203	144269	Lipid	Androgenic Steroids	3390	NAMED	UWPTUYJASNIIJM-QJIZPQHZSA-N	C[C@]12C(CCC3C1CC[C@]4(C3CC[C@@H]4OS(=O)(O)=O)C)=C[C@H](CC2)OS(=O)(O)=O	"androstenediol (3beta,17beta) disulfate (2)"	"androstenediol (3beta,17beta) disulfate (2)"			HMDB0240313		87120982	Neg
100002008	209	37183	144260	Lipid	Androgenic Steroids	3384	NAMED	LERFMBCTNMFXCT-SKIFDASYSA-N	O[C@H]1C2(C)C(CC1)C(CCC3C4(C)CC[C@@H](OS(=O)(O)=O)C3)C4CC2	"5alpha-androstan-3alpha,17alpha-diol monosulfate"	"5alpha-androstan-3alpha,17alpha-diol monosulfate"			HMDB0000412			Neg
100002017	209	37184	144264	Lipid	Androgenic Steroids	3406	NAMED	JHFAETDERBWUOO-ILBJSTGGSA-N	C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4OS(=O)(O)=O)([H])C[C@H](OS(=O)(O)=O)CC1	"5alpha-androstan-3alpha,17beta-diol disulfate"	"5alpha-androstan-3alpha,17beta-diol disulfate"			HMDB0094682		56639109	Neg
100002018	209	37186	144270	Lipid	Androgenic Steroids	3404	NAMED	LERFMBCTNMFXCT-ILBJSTGGSA-N	C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4O)([H])C[C@H](OS(=O)(O)=O)CC1	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"	"5alpha-androstan-3alpha,17beta-diol monosulfate (1)"					"121596226,121596225"	Neg
100002021	209	37187	144291	Lipid	Androgenic Steroids	3415	NAMED	JHFAETDERBWUOO-ILSMVHKQSA-N	O=S(O[C@@H]1CCC2C3CC[C@@]4([H])C[C@@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C)(O)=O	"5alpha-androstan-3beta,17alpha-diol disulfate"	"5alpha-androstan-3beta,17alpha-diol disulfate"			HMDB0094682		56639109	Neg
100002024	209	37192	144276	Lipid	Androgenic Steroids	3411	NAMED	KWYNDVHEQWYGIL-ARKAXQQOSA-N	O[C@H]1CC[C@@]2(C)[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4OS(=O)(O)=O)([H])C1	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"	"5alpha-androstan-3beta,17beta-diol monosulfate (2)"						Neg
100002026	209	37207	144213	Lipid	Androgenic Steroids	3393	NAMED	VPDALJSLCNNODJ-BVKUPEMCSA-N	O[C@@H]1CCC2C3CCC4=C[C@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C	"androstenediol (3alpha, 17alpha) monosulfate (2)"	"androstenediol (3alpha, 17alpha) monosulfate (2)"						Neg
100002027	209	37209	144214	Lipid	Androgenic Steroids	3394	NAMED	VPDALJSLCNNODJ-IUIQAQCZSA-N	O[C@@H]1CCC2C3CCC4=CC(OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C	"androstenediol (3alpha, 17alpha) monosulfate (3)"	"androstenediol (3alpha, 17alpha) monosulfate (3)"						Neg
100002028	209	37211	144263	Lipid	Androgenic Steroids	3386	NAMED	VPDALJSLCNNODJ-QJIZPQHZSA-N	O[C@H]1CCC2C3CCC4=C[C@@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C	"androstenediol (3beta,17beta) monosulfate (1)"	"androstenediol (3beta,17beta) monosulfate (1)"	521-17-5		HMDB0240429		"129670631,13847309"	Neg
100002029	209	37210	144261	Lipid	Androgenic Steroids	3387	NAMED	KMTOEENORMWLCF-QJIZPQHZSA-N	O[C@H]1CC[C@@]2(C)C(CCC3C2CC[C@@]4(C)C3CC[C@@H]4OS(=O)(O)=O)=C1	"androstenediol (3beta,17beta) monosulfate (2)"	"androstenediol (3beta,17beta) monosulfate (2)"			"HMDB0240429,HMDB0186954"			Neg
100002126	209	38168	143871	Lipid	Androgenic Steroids	3365	NAMED	ALBNSVAJDFJRKQ-UAFBDMIJSA-N	O=C1[C@H](O)CC2C3CC=C4C[C@@H](OS(=O)(O)=O)CC[C@]4(C)C3CC[C@@]21C	16alpha-hydroxy DHEA 3-sulfate	16alpha-hydroxy DHEA 3-sulfate			HMDB0062544		20848950	Neg
100002152	209	32827	149822	Lipid	Androgenic Steroids	3419	NAMED	UNURIUSTYBXRLV-UHFFFAOYSA-N	CC12CCC(O)CC1=CCC3C2CCC4(C)C3CC(OS(=O)(O)=O)C4=O	andro steroid monosulfate C19H28O6S (1)*	andro steroid monosulfate C19H28O6S (1)*			HMDB0002759		159663	Neg
100002761	209	61846	218457	Lipid	Androgenic Steroids	3366	NAMED	VFUIRAVTUVCQTF-BSOWLZGZSA-N	O[C@H]1[C@H](O)[C@@H]([C@](O)=O)O[C@@H](O[C@@H]2CC[C@@]3(C)[C@](CC[C@]4([H])[C@]3([H])CC[C@@]5(C)[C@@]4([H])CCC5=O)([H])C2)[C@@H]1O	androsterone glucuronide	androsterone glucuronide	1852-43-3	102793	HMDB0002829	C11135	114833	Neg
100005396	209	47132	149409	Lipid	Androgenic Steroids	3407	NAMED	ZJYZOWMDMWQJIV-UPDIMMRZSA-N	O[C@@H]1CC[C@]2(C)[C@]3([H])[C@](CCC2C1)([H])[C@@](CC4)([H])[C@@](CC3)(C)[C@H]4O[C@@H]([C@@H]([C@H]5O)O)O[C@H](C(O)=O)[C@H]5O	"5alpha-androstan-3alpha,17beta-diol 17-glucuronide"	"5alpha-androstan-3alpha,17beta-diol 17-glucuronide"						Neg
100005402	209	47135	149413	Lipid	Androgenic Steroids	3362	NAMED	QTXWOOLAHRQMGZ-NFZJBPARSA-N	O=C1C2[C@](CC[C@H]3OC4[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O4)(C)[C@](C3)([H])CCC2C(CCC5=O)[C@]5(C)C1	11-ketoetiocholanolone glucuronide	11-ketoetiocholanolone glucuronide	17181-16-7					Neg
100005403	209	47112	149383	Lipid	Androgenic Steroids	3379	NAMED	VFUIRAVTUVCQTF-ILTUOXSPSA-N	O=C1[C@](CC2)(C)C(CC1)C3C2[C@](CC[C@H]4OC5[C@H](O)[C@@H](O)[C@H](O)[C@@H](C(O)=O)O5)(C)[C@](C4)([H])CC3	etiocholanolone glucuronide	etiocholanolone glucuronide	3602-09-3		HMDB0004484		270605	Neg
100006005	209	37185	144272	Lipid	Androgenic Steroids	3405	NAMED	LERFMBCTNMFXCT-ILBJSTGGSA-N	C[C@@]12[C@](CCC3C2CC[C@@]4(C)C3CC[C@@H]4O)([H])C[C@H](OS(=O)(O)=O)CC1	"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"	"5alpha-androstan-3alpha,17beta-diol monosulfate (2)"					121596225	Neg
100020541	209	63251	222126	Lipid	Androgenic Steroids	3427	NAMED	BRPLOVMHAFXVOQ-HXVIYJDASA-N	C[C@]12CC[C@@H](OC3C(O)C(O)C(O)C(C(O)=O)O3)C[C@]1([H])CC[C@]4([H])[C@]2([H])[C@@H](O)C[C@@]5(C)[C@@]4([H])CCC5=O	11beta-hydroxyandrosterone glucuronide	11beta-hydroxyandrosterone glucuronide			HMDB0010351			Neg
100020542	209	64418	237607	Lipid	Androgenic Steroids	3383	NAMED	BRPLOVMHAFXVOQ-KXVRARTKSA-N	O[C@@H]1[C@@]2([H])[C@](CCC3[C@]2(C)CC[C@H](O[C@@H]4O[C@H](C(O)=O)[C@@H](O)[C@H](O)[C@H]4O)C3)([H])[C@@]5([H])[C@](C(CC5)=O)(C)C1	11beta-hydroxyetiocholanolone glucuronide*	11beta-hydroxyetiocholanolone glucuronide*	17181-15-6					Neg
100000841	209	20694	143843	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4384	NAMED	MUBZPKHOEPUJKR-UHFFFAOYSA-N	O=C(O)C(O)=O	oxalate (ethanedioate)	oxalate (ethanedioate)	144-62-7	946	HMDB0002329	C00209	971	Neg
100001022	305	27738	146524	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4381	NAMED	JPIJQSOTBSSVTP-UHFFFAOYSA-N	O=C(O)C(O)([H])C([H])(O)CO	threonate	threonate	70753-61-6	133224	"HMDB0062620,HMDB0000943"	C01620	"151152,5460407"	Polar
100001586	305	46957	148205	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4385	NAMED	RGHNJXZEOKUKBD-NRXMZTRTSA-N	OC([C@H](O)[C@H](O)[C@H](O)[C@@H](O)CO)=O	gulonate*	gulonate*	20246-53-1	7969943	HMDB0003290	C00800	152304	Polar
100003258	305	63990	232912	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4380	NAMED	RMHBODZVODTFAH-UHFFFAOYSA-N	OC1=C(OC)C(C(C(CO)O)O1)=O	2-O-methylascorbic acid	2-O-methylascorbic acid	17860-87-6	90149	HMDB0240294		54726398	Polar
100009329	305	63590	222872	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4376	NAMED	SKKZOYBAANIUOV-ZAFYKAAXSA-N	O[C@@H](CO)[C@@](C1=O)([H])OC(O)=C1OS(O)(=O)=O	ascorbic acid 2-sulfate	ascorbic acid 2-sulfate	52174-99-9	77998	HMDB0060649		54676864	Polar
100020409	305	63687	223113	Cofactors and Vitamins	Ascorbate and Aldarate Metabolism	4377	NAMED	FBFZPSQPKNIVMT-ZAFYKAAXSA-N	O=C1O[C@@]([C@@H](O)CO)([H])C(OS(=O)(O)=O)=C1O	ascorbic acid 3-sulfate*	ascorbic acid 3-sulfate*		9600241			11425365	Polar
100005383	400	47101	157354	Xenobiotics	Bacterial/Fungal	5359	NAMED	BPSLZWSRHTULGU-ZCFIWIBFSA-N	CN1[C@@H](C(O)=O)CCCC1	N-methylpipecolate	N-methylpipecolate	41447-17-0	9461516			11286529	Pos Early
1869	209	18281	124655	Xenobiotics	Benzoate Metabolism	4494	NAMED	ONJSZLXSECQROL-UHFFFAOYSA-N	O=C(C1=CC=CC=C1O)NCC(O)=O	2-hydroxyhippurate (salicylurate)	2-hydroxyhippurate (salicylurate)	487-54-7	9835	HMDB0000840	C07588	10253	Neg
100000008	209	15778	124867	Xenobiotics	Benzoate Metabolism	4505	NAMED	WPYMKLBDIGXBTP-UHFFFAOYSA-N	OC(C1=CC=CC=C1)=O	benzoate	benzoate	65-85-0	238	HMDB0001870	C00180	243	Neg
100000010	209	15749	126035	Xenobiotics	Benzoate Metabolism	4603	NAMED	XMIIGOLPHOKFCH-UHFFFAOYSA-N	OC(CCC1=CC=CC=C1)=O	3-phenylpropionate (hydrocinnamate)	3-phenylpropionate (hydrocinnamate)	501-52-0	10181339	HMDB0000764	C05629	107	Neg
100000014	209	15753	124647	Xenobiotics	Benzoate Metabolism	4490	NAMED	QIAFMBKCNZACKA-UHFFFAOYSA-N	O=C(C1=CC=CC=C1)NCC(O)=O	hippurate	hippurate	495-69-2	451	HMDB0000714	C01586	464	Neg
100000711	209	44620	126992	Xenobiotics	Benzoate Metabolism	4546	NAMED	HOFGLAYWQRGTKC-UHFFFAOYSA-N	O=S(OC1=CC=C(C(C)=O)C=C1)(O)=O	4-acetylphenol sulfate	4-acetylphenyl sulfate		3872009			4684006	Neg
100001315	209	36103	143727	Xenobiotics	Benzoate Metabolism	4581	NAMED	WGNAKZGUSRVWRH-UHFFFAOYSA-N	O=S(OC1=CC=C(C)C=C1)(O)=O	p-cresol sulfate	p-cresol sulfate	3233-57-7	3806480	HMDB0011635		4615423	Neg
100001423	209	35527	127577	Xenobiotics	Benzoate Metabolism	4498	NAMED	ZMHLUFWWWPBTIU-UHFFFAOYSA-N	O=C(NCC(O)=O)C1=CC=C(O)C=C1	4-hydroxyhippurate	4-hydroxyhippurate	2482-25-9	133104	HMDB0013678		151012	Neg
100001605	209	35320	143730	Xenobiotics	Benzoate Metabolism	4527	NAMED	MZPWKJZDOCIALD-UHFFFAOYSA-N	O=S(OC1=C(O)C=CC=C1)(O)=O	catechol sulfate	catechol sulfate	4918-96-1	2341024	HMDB0059724		3083879	Neg
100001624	209	35635	128251	Xenobiotics	Benzoate Metabolism	4600	NAMED	QVWAEZJXDYOKEH-UHFFFAOYSA-N	O=C(CCC1=CC(O)=CC=C1)O	3-(3-hydroxyphenyl)propionate	3-(3-hydroxyphenyl)propionate	621-54-5	89	HMDB0000375	C11457	91	Neg
100001718	209	35892	144358	Xenobiotics	Benzoate Metabolism	4517	NAMED	IBHWREHFNDMRPR-UHFFFAOYSA-N	O=C(O)C1=C(O)C=C(O)C=C1O	"2,4,6-trihydroxybenzoate"	"2,4,6-trihydroxybenzoate"	83-30-7	59891	HMDB0029649		66520	Neg
100001755	209	36098	144223	Xenobiotics	Benzoate Metabolism	4554	NAMED	IETVQHUKTKKBFF-UHFFFAOYSA-N	O=S(OC1=CC=C(C=C)C=C1)(O)=O	4-vinylphenol sulfate	4-vinylphenol sulfate	2628-17-3	4932200	HMDB0062775	C05627	6426766	Neg
100001756	209	36099	144224	Xenobiotics	Benzoate Metabolism	4552	NAMED	DWZGLEPNCRFCEP-UHFFFAOYSA-N	O=S(OC1=CC=C(CC)C=C1)(O)=O	4-ethylphenylsulfate	4-ethylphenyl sulfate	123-07-9		HMDB0062551	C13637	20822574	Neg
100001806	209	36845	143732	Xenobiotics	Benzoate Metabolism	4588	NAMED	CYGSXDXRHXMAOV-UHFFFAOYSA-N	O=S(OC1=CC=CC=C1C)(O)=O	o-cresol sulfate	o-cresol sulfate		9790277	HMDB0011635		11615528	Neg
100001809	209	36847	143734	Xenobiotics	Benzoate Metabolism	4549	NAMED	TXENPQZYQPWRAV-UHFFFAOYSA-N	O=S(OC1=C(CC)C=CC=C1)(O)=O	2-ethylphenylsulfate	2-ethylphenylsulfate						Neg
100002122	209	39600	141918	Xenobiotics	Benzoate Metabolism	4496	NAMED	XDOFWFNMYJRHEW-UHFFFAOYSA-N	O=C(C1=CC=CC(O)=C1)NCC(O)=O	3-hydroxyhippurate	3-hydroxyhippurate	1637-75-8	396603	HMDB0006116		450268	Neg
100004110	209	46164	144277	Xenobiotics	Benzoate Metabolism	4532	NAMED	TZVUCGJSHGKWCJ-UHFFFAOYSA-N	OC1=C(OS(=O)(O)=O)C(C)=CC=C1	3-methyl catechol sulfate (2)	3-methyl catechol sulfate (2)						Neg
100004111	209	46146	144253	Xenobiotics	Benzoate Metabolism	4534	NAMED	NCOMUGOPQPRVSE-UHFFFAOYSA-N	OC1=CC(C)=CC=C1OS(O)(=O)=O	4-methylcatechol sulfate	4-methylcatechol sulfate			HMDB0240459		54104170	Neg
100004112	209	46165	144278	Xenobiotics	Benzoate Metabolism	4531	NAMED	HFDKYCXWNHNKAF-UHFFFAOYSA-N	OC1=C(C)C=CC=C1OS(O)(=O)=O	3-methyl catechol sulfate (1)	3-methyl catechol sulfate (1)					118431379	Neg
100004208	209	46111	143736	Xenobiotics	Benzoate Metabolism	4530	NAMED	AQTYXAPIHMXAAV-UHFFFAOYSA-N	COC1=C(OS(O)(=O)=O)C=CC=C1	guaiacol sulfate	guaiacol sulfate		21078	HMDB0060013		22473	Neg
100005391	209	45415	153117	Xenobiotics	Benzoate Metabolism	4597	NAMED	IQWLPDPKVFZEOK-UHFFFAOYSA-N	OS(OC1=CC=CC(CCC(O)=O)=C1)(=O)=O	3-(3-hydroxyphenyl)propionate sulfate	3-(3-hydroxyphenyl)propionate sulfate	86321-32-6	162993	HMDB0094710		187488	Neg
100006105	209	48418	219297	Xenobiotics	Benzoate Metabolism	4529	NAMED	LILXPJXZNJTPQZ-UHFFFAOYSA-N	CC1=CC=C(OS(=O)(O)=O)C(OC)=C1	4-methylguaiacol sulfate	4-methylguaiacol sulfate	756760-43-7					Neg
100006116	209	48429	155073	Xenobiotics	Benzoate Metabolism	4573	NAMED	IBEAHXYYSZWGED-UHFFFAOYSA-N	O=C(OC)C1=CC=C(OS(=O)(O)=O)C=C1	methyl-4-hydroxybenzoate sulfate	methyl-4-hydroxybenzoate sulfate			HMDB0041646		10657183	Neg
100006264	209	48460	155097	Xenobiotics	Benzoate Metabolism	4575	NAMED	WEKBGFBWJOHXKR-UHFFFAOYSA-N	CCCOC(C1=CC=C(OS(=O)(O)=O)C=C1)=O	propyl 4-hydroxybenzoate sulfate	propyl 4-hydroxybenzoate sulfate	162338-10-5	48063224	HMDB0135261		131838881	Neg
100006375	209	48763	155127	Xenobiotics	Benzoate Metabolism	4570	NAMED	NTXOJWKIHIOUQN-UHFFFAOYSA-N	OC1=C(C=CC=C1OS(=O)(O)=O)OC	3-methoxycatechol sulfate (1)	3-methoxycatechol sulfate (1)					129892430	Neg
100006376	209	48752	155119	Xenobiotics	Benzoate Metabolism	4571	NAMED	NTXOJWKIHIOUQN-UHFFFAOYSA-N	OC1=C(OC)C=CC=C1OS(=O)(O)=O	3-methoxycatechol sulfate (2)	3-methoxycatechol sulfate (2)						Neg
100020410	209	62530	219863	Xenobiotics	Benzoate Metabolism	4497	NAMED	SBLCKJXUMHOIBU-UHFFFAOYSA-N	O=C(NCC(O)=O)C1=CC(OS(=O)(O)=O)=CC=C1	3-hydroxyhippurate sulfate	3-hydroxyhippurate sulfate		161984			186339	Neg
100020536	209	63072	221702	Xenobiotics	Benzoate Metabolism	4533	NAMED	KHZCNGJFSKSSIJ-UHFFFAOYSA-N	OC1=CC=C(CC)C=C1OS(=O)(O)=O	4-ethylcatechol sulfate	4-ethylcatechol sulfate						Neg
100020578	209	63597	222898	Xenobiotics	Benzoate Metabolism	4535	NAMED	USWXDXYEVISELK-UHFFFAOYSA-N	OS(OC1=CC=C(CC=C)C=C1O)(=O)=O	4-allylcatechol sulfate	4-allylcatechol sulfate						Neg
100021839	209	64049	233195	Xenobiotics	Benzoate Metabolism	4613	NAMED	LEJCLCZOTCOTQE-UHFFFAOYSA-N	OC1=CC=C(OS(=O)(O)=O)C=C1OC	2-methoxyhydroquinone sulfate (1)	2-methoxyhydroquinone sulfate (1)						Neg
100021840	209	64050	233196	Xenobiotics	Benzoate Metabolism	4614	NAMED	DQJWAJBJWZYKLK-UHFFFAOYSA-N	OC1=CC=C(OS(=O)(O)=O)C(OC)=C1	2-methoxyhydroquinone sulfate (2)	2-methoxyhydroquinone sulfate (2)						Neg
